name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,109,4944828820,,,,,104.1391251,30.6338349,POINT (104.1391251 30.6338349)
,110,4944828921,,,,,104.1389568,30.6334865,POINT (104.1389568 30.6334865)
,111,4944828922,,,,,104.1388057,30.6335428,POINT (104.1388057 30.6335428)
,112,4944828923,,,,,104.1388977,30.633725,POINT (104.1388977 30.633725)
,113,4944828924,,,,,104.1390067,30.6339422,POINT (104.1390067 30.6339422)
,114,4944828925,,,,,104.1391095,30.6341392,POINT (104.1391095 30.6341392)
,115,4944828926,,,,,104.1392279,30.634355,POINT (104.1392279 30.634355)
,116,4944828927,,,,,104.1393525,30.6345721,POINT (104.1393525 30.6345721)
,117,4944828928,,,,,104.1394865,30.6347919,POINT (104.1394865 30.6347919)
,118,4944828929,,,,,104.1396126,30.6349863,POINT (104.1396126 30.6349863)
,119,4944828930,,,,,104.1415072,30.6378439,POINT (104.1415072 30.6378439)
,120,4944828931,,,,,104.14212,30.6391804,POINT (104.14212 30.6391804)
,121,4944828932,,,,,104.1414455,30.6378401,POINT (104.1414455 30.6378401)
,122,4944828933,,,,,104.1420671,30.639188,POINT (104.1420671 30.639188)
,123,4944828934,,,,,104.1413926,30.6378553,POINT (104.1413926 30.6378553)
,124,4944828935,,,,,104.1420224,30.6392146,POINT (104.1420224 30.6392146)
,125,4944828936,,,,,104.1417056,30.638643,POINT (104.1417056 30.638643)
,126,4944828937,,,,,104.1415217,30.638133,POINT (104.1415217 30.638133)
,127,4944828938,,,,,104.1416879,30.6386051,POINT (104.1416879 30.6386051)
,128,4944828939,,,,,104.1420054,30.6393031,POINT (104.1420054 30.6393031)
,129,4944828940,,,,,104.1419569,30.6393182,POINT (104.1419569 30.6393182)
,130,4944828941,,,,,104.1419755,30.6392373,POINT (104.1419755 30.6392373)
,131,4944828942,,,,,104.1416471,30.6386525,POINT (104.1416471 30.6386525)
,132,4944828943,,,,,104.1437604,30.6426288,POINT (104.1437604 30.6426288)
,133,4944828944,,,,,104.143316,30.6418085,POINT (104.143316 30.6418085)
,134,4944828945,,,,,104.1435439,30.6422823,POINT (104.1435439 30.6422823)
,135,4944828946,,,,,104.1436256,30.6423505,POINT (104.1436256 30.6423505)
,136,4944828947,,,,,104.1433298,30.6418372,POINT (104.1433298 30.6418372)
,137,4944828949,,,,,104.1428298,30.6409132,POINT (104.1428298 30.6409132)
,138,4944828950,,,,,104.1431655,30.6414928,POINT (104.1431655 30.6414928)
,139,4944828951,,,,,104.1433341,30.6420733,POINT (104.1433341 30.6420733)
,140,4944828952,,,,,104.1425369,30.6402969,POINT (104.1425369 30.6402969)
,141,4944828953,,,,,104.1422559,30.6398253,POINT (104.1422559 30.6398253)
,142,4944828954,,,,,104.1430543,30.6416124,POINT (104.1430543 30.6416124)
,143,4944828955,,,,,104.1426272,30.6405992,POINT (104.1426272 30.6405992)
,144,4944828956,,,,,104.1428431,30.6411708,POINT (104.1428431 30.6411708)
,145,4944828957,,,,,104.1436176,30.6427997,POINT (104.1436176 30.6427997)
,146,4944828959,,,,,104.1431873,30.6419067,POINT (104.1431873 30.6419067)
,147,4944828961,,,,,104.1437004,30.6428326,POINT (104.1437004 30.6428326)
,148,4944828963,,,,,104.1440096,30.6436408,POINT (104.1440096 30.6436408)
,149,4944828965,,,,,104.1439608,30.6433664,POINT (104.1439608 30.6433664)
,150,5213837354,,,,,104.1445912,30.6443902,POINT (104.1445912 30.6443902)
,151,5616916015,stop,,,,104.1395416,30.6310457,POINT (104.1395416 30.6310457)
,152,5616916016,,,,,104.1378381,30.6316742,POINT (104.1378381 30.6316742)
,153,6169693891,,,,,104.1417639,30.636029,POINT (104.1417639 30.636029)
,154,6243807695,,,,,104.1320996,30.6200396,POINT (104.1320996 30.6200396)
,155,6243807696,,,,,104.133059,30.6212746,POINT (104.133059 30.6212746)
,156,6243807697,,,,,104.1335835,30.6219691,POINT (104.1335835 30.6219691)
,157,6243807698,,,,,104.1342553,30.622874,POINT (104.1342553 30.622874)
,158,6243807699,,,,,104.1347364,30.6235167,POINT (104.1347364 30.6235167)
,159,6243807700,,,,,104.1353293,30.6243104,POINT (104.1353293 30.6243104)
,160,6243807701,,,,,104.1359928,30.6251847,POINT (104.1359928 30.6251847)
,161,6243807702,,,,,104.1363927,30.6257386,POINT (104.1363927 30.6257386)
,162,6243807703,,,,,104.1365183,30.6259179,POINT (104.1365183 30.6259179)
,163,6243807704,,,,,104.1366456,30.6261105,POINT (104.1366456 30.6261105)
,164,6243807705,,,,,104.1370534,30.6267263,POINT (104.1370534 30.6267263)
,165,6243807706,,,,,104.1319171,30.6198082,POINT (104.1319171 30.6198082)
,166,6243807707,,,,,104.1372,30.6269569,POINT (104.1372 30.6269569)
,167,6243807708,,,,,104.1374253,30.6273239,POINT (104.1374253 30.6273239)
,168,6243807709,,,,,104.1376292,30.6276816,POINT (104.1376292 30.6276816)
,169,6243807710,,,,,104.1379993,30.6284479,POINT (104.1379993 30.6284479)
,170,6243807711,,,,,104.1383775,30.6292465,POINT (104.1383775 30.6292465)
,171,6243807712,,,,,104.1401885,30.6330689,POINT (104.1401885 30.6330689)
,172,6243807716,,,,,104.1321429,30.6197098,POINT (104.1321429 30.6197098)
,173,6243807735,,,,,104.1322685,30.6201483,POINT (104.1322685 30.6201483)
,174,6243807736,,,,,104.1331712,30.6213623,POINT (104.1331712 30.6213623)
,175,6243807740,,,,,104.1319934,30.6197768,POINT (104.1319934 30.6197768)
,176,6243807751,,,,,104.1321287,30.6203503,POINT (104.1321287 30.6203503)
,177,6243807752,,,,,104.1324566,30.6208323,POINT (104.1324566 30.6208323)
,178,6243807753,,,,,104.1327156,30.6212561,POINT (104.1327156 30.6212561)
,179,6243807754,,,,,104.132997,30.621754,POINT (104.132997 30.621754)
,180,6243807755,,,,,104.1337959,30.6232144,POINT (104.1337959 30.6232144)
,181,6243807756,,,,,104.1340738,30.6237217,POINT (104.1340738 30.6237217)
,182,6243807757,,,,,104.1345376,30.6245574,POINT (104.1345376 30.6245574)
,183,6243807758,,,,,104.1348366,30.6251122,POINT (104.1348366 30.6251122)
,184,6243807759,,,,,104.1352609,30.6258656,POINT (104.1352609 30.6258656)
,185,6243807761,,,,,104.1354927,30.6262767,POINT (104.1354927 30.6262767)
,186,6243807762,,,,,104.1356538,30.6265239,POINT (104.1356538 30.6265239)
,187,6243807763,,,,,104.1357682,30.6266906,POINT (104.1357682 30.6266906)
,188,6243807764,,,,,104.1359877,30.6269759,POINT (104.1359877 30.6269759)
,189,6243807765,,,,,104.1361605,30.6271809,POINT (104.1361605 30.6271809)
,190,6243807766,,,,,104.1363543,30.627432,POINT (104.1363543 30.627432)
,191,6243807767,,,,,104.1366299,30.6277616,POINT (104.1366299 30.6277616)
,192,6243807768,,,,,104.136826,30.6280348,POINT (104.136826 30.6280348)
,193,6243807769,,,,,104.1369778,30.6282759,POINT (104.1369778 30.6282759)
,194,6243807770,,,,,104.1371646,30.6285914,POINT (104.1371646 30.6285914)
,195,6243807771,,,,,104.1373023,30.6288687,POINT (104.1373023 30.6288687)
,196,6243807772,,,,,104.1373957,30.6290696,POINT (104.1373957 30.6290696)
,197,6243807773,,,,,104.1376152,30.6295217,POINT (104.1376152 30.6295217)
,198,6243807775,,,,,104.1362856,30.6281459,POINT (104.1362856 30.6281459)
,199,6243807786,,,,,104.1320195,30.6201126,POINT (104.1320195 30.6201126)
,200,6243807787,,,,,104.1322756,30.6204695,POINT (104.1322756 30.6204695)
,201,6243807788,,,,,104.1324382,30.6207039,POINT (104.1324382 30.6207039)
,202,6243807789,,,,,104.1325967,30.6209733,POINT (104.1325967 30.6209733)
,203,6243807790,,,,,104.1327756,30.6212689,POINT (104.1327756 30.6212689)
,204,6243807791,,,,,104.1330724,30.6217849,POINT (104.1330724 30.6217849)
,205,6243807792,,,,,104.1318429,30.6198709,POINT (104.1318429 30.6198709)
,206,6243807793,,,,,104.1332908,30.6221888,POINT (104.1332908 30.6221888)
,207,6243807794,,,,,104.1335429,30.6226412,POINT (104.1335429 30.6226412)
