name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id
,220,265043933,,,0,,,0,136.9660965,35.0014963,,
,221,265043977,,,0,,,0,136.9208701,34.8522261,,
,222,265044011,,,0,,,0,136.9303327,34.8916848,,
,223,265044044,,,0,,,0,136.9246107,34.8760137,,
,224,265044080,,,0,,,0,136.9215542,34.8657633,,
,225,265044081,,,0,,,0,136.9215389,34.8660458,,
,226,265044118,,,0,,,0,136.931103,34.8967853,,
,227,265044294,,,0,,,0,136.9459304,34.9041872,,
,228,265823393,,,0,,,0,137.0899087,35.3618229,,
,229,265823395,,,0,,,0,137.0891623,35.3637433,,
,230,265823436,,,0,,,0,137.1000127,35.3497922,,
,231,265823437,,,0,,,0,137.0728458,35.3801825,,
,232,265823438,,,0,,,0,137.0721196,35.3820762,,
,233,265823439,,,0,,,0,137.0979087,35.3531524,,
,234,265823441,,,0,,,0,137.0987928,35.3517078,,
,235,265823442,,,0,,,0,137.0986887,35.3518757,,
,236,265823443,,,0,,,0,137.0967421,35.3547314,,
,237,265823446,,,0,,,0,137.096786,35.3546834,,
,238,265823447,,,0,,,0,137.0901872,35.3612766,,
,239,265823451,,,0,,,0,137.0451814,35.4443156,,
,240,265823452,,,0,,,0,137.1004297,35.3491132,,
,241,265823453,,,0,,,0,137.0455727,35.4439348,,
,242,265823459,,,0,,,0,137.1146766,35.3319506,,
,243,265823487,,,0,,,0,137.1060806,35.3415953,,
,244,265823490,,,0,,,0,137.1060614,35.3416528,,
,245,265823500,,,0,,,0,137.1020332,35.3473174,,
,246,265823501,,,0,,,0,137.0553488,35.4213828,,
,247,265823502,,,0,,,0,137.0552996,35.4208621,,
,248,265823506,,,0,,,0,137.1154121,35.3323297,,
,249,265823527,,,0,,,0,137.1163108,35.3328164,,
,250,265823553,,,0,,,0,137.0555913,35.4191257,,
,251,265823560,,,0,,,0,137.0553386,35.4199191,,
,252,265823564,,,0,,,0,137.0591428,35.4125205,,
