name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,11551,879444097,,yes,,,"POLYGON ((106.5340217 29.7402906, 106.5340632 29.7403293, 106.5342889 29.7401465, 106.5342474 29.7401078, 106.5341139 29.7402159, 106.5340217 29.7402906))",POINT (106.5341553 29.7402185),175.1,1884.5
,11552,879444109,,yes,,,"POLYGON ((106.5398882 29.7330675, 106.5399852 29.7331111, 106.5400422 29.7330155, 106.5400558 29.7330216, 106.5400437 29.7330418, 106.5401107 29.7330719, 106.5402154 29.7328963, 106.5401484 29.7328662, 106.5401349 29.7328889, 106.5401213 29.7328828, 106.5401636 29.7328118, 106.5400665 29.7327682, 106.5400242 29.7328392, 106.5400021 29.7328293, 106.5400142 29.7328089, 106.5399552 29.7327824, 106.5398519 29.7329557, 106.539911 29.7329822, 106.539923 29.732962, 106.5399451 29.7329719, 106.5398882 29.7330675))",POINT (106.54003 29.7329337),758.2,8161.7
,11553,879444110,,yes,,,"POLYGON ((106.5391164 29.7332832, 106.5392134 29.7333268, 106.5392704 29.7332312, 106.539284 29.7332373, 106.5392719 29.7332576, 106.5393389 29.7332876, 106.5394436 29.733112, 106.5393766 29.7330819, 106.539363 29.7331046, 106.5393495 29.7330985, 106.5393918 29.7330275, 106.5392947 29.7329839, 106.5392524 29.7330549, 106.5392303 29.733045, 106.5392424 29.7330246, 106.5391834 29.7329981, 106.5390801 29.7331714, 106.5391392 29.7331979, 106.5391512 29.7331777, 106.5391733 29.7331876, 106.5391164 29.7332832))",POINT (106.5392582 29.7331494),756,8137.3
,11554,879444111,,yes,,,"POLYGON ((106.5386901 29.7337662, 106.5386626 29.7337736, 106.5386926 29.7338573, 106.5391678 29.7337291, 106.5391378 29.7336453, 106.5391005 29.7336554, 106.5390936 29.733636, 106.5388949 29.7336896, 106.5389018 29.733709, 106.5388462 29.733724, 106.5388401 29.7337071, 106.538684 29.7337492, 106.5386901 29.7337662))",POINT (106.5389135 29.7337439),543.5,5850.2
,11555,879444112,,yes,,,"POLYGON ((106.5383722 29.7338662, 106.5383489 29.7338725, 106.5383814 29.7339633, 106.5386188 29.7338992, 106.5385863 29.7338085, 106.5385566 29.7338165, 106.5385504 29.7337991, 106.538366 29.7338488, 106.5383722 29.7338662))",POINT (106.5384809 29.733879),291.1,3133.7
,11556,879444113,,yes,,,"POLYGON ((106.5382908 29.7342762, 106.5382705 29.7342763, 106.5382704 29.7342108, 106.5382939 29.7342108, 106.5382938 29.7341738, 106.5382703 29.7341738, 106.53827 29.7340747, 106.5381684 29.7340749, 106.5381694 29.7345279, 106.5382711 29.7345277, 106.5382709 29.7344565, 106.5382958 29.7344565, 106.5382957 29.7344044, 106.5382708 29.7344044, 106.5382706 29.7343226, 106.5382909 29.7343225, 106.5382908 29.7342762))",POINT (106.5382237 29.7343028),527.5,5678.3
,11557,879444114,,yes,,,"POLYGON ((106.5384994 29.7342758, 106.5386866 29.7342752, 106.5386865 29.7342603, 106.5387506 29.7342601, 106.5387506 29.7342753, 106.5389444 29.7342746, 106.5389443 29.7342594, 106.5389737 29.7342593, 106.5389734 29.7341864, 106.538465 29.7341881, 106.5384654 29.734261, 106.5384993 29.7342609, 106.5384994 29.7342758))",POINT (106.5387199 29.7342296),458.9,4939.5
,11558,879444115,,yes,,,"POLYGON ((106.5385202 29.7345935, 106.5387074 29.7345929, 106.5387073 29.734578, 106.5387713 29.7345777, 106.5387714 29.734593, 106.5389651 29.7345923, 106.5389651 29.7345771, 106.5389945 29.734577, 106.5389942 29.7345041, 106.5384858 29.7345058, 106.5384862 29.7345787, 106.5385201 29.7345786, 106.5385202 29.7345935))",POINT (106.5387407 29.7345473),459,4940.4
,11559,879444116,,yes,,,"POLYGON ((106.5391324 29.7344, 106.5391527 29.7343999, 106.5391531 29.7344653, 106.5391295 29.7344654, 106.5391298 29.7345024, 106.5391533 29.7345023, 106.5391539 29.7346014, 106.5392556 29.734601, 106.5392529 29.734148, 106.5391512 29.7341484, 106.5391516 29.7342196, 106.5391268 29.7342197, 106.5391271 29.7342719, 106.539152 29.7342717, 106.5391524 29.7343536, 106.5391322 29.7343537, 106.5391324 29.7344))",POINT (106.5391995 29.7343733),526.7,5669.6
,11560,879444117,,yes,,,"POLYGON ((106.5396099 29.7345989, 106.5397883 29.7345498, 106.5397831 29.7345356, 106.5398442 29.7345188, 106.5398495 29.7345333, 106.5400341 29.7344824, 106.5400288 29.7344679, 106.5400569 29.7344602, 106.5400315 29.7343907, 106.5395469 29.7345241, 106.5395723 29.7345936, 106.5396047 29.7345847, 106.5396099 29.7345989))",POINT (106.5398045 29.7344976),459.5,4946.4
,11561,879444118,,yes,,,"POLYGON ((106.5395093 29.7342775, 106.5396877 29.7342284, 106.5396825 29.7342142, 106.5397436 29.7341974, 106.5397489 29.7342119, 106.5399336 29.734161, 106.5399283 29.7341465, 106.5399563 29.7341388, 106.5399309 29.7340693, 106.5394464 29.7342027, 106.5394717 29.7342722, 106.5395041 29.7342633, 106.5395093 29.7342775))",POINT (106.5397039 29.7341762),459.6,4947.2
,11562,879444119,,yes,,,"POLYGON ((106.5394047 29.7339922, 106.5395831 29.7339431, 106.5395779 29.7339289, 106.539639 29.7339121, 106.5396443 29.7339266, 106.539829 29.7338757, 106.5398237 29.7338612, 106.5398517 29.7338535, 106.5398263 29.733784, 106.5393418 29.7339174, 106.5393671 29.7339869, 106.5393995 29.733978, 106.5394047 29.7339922))",POINT (106.5395993 29.7338909),459.4,4945.3
,11563,879444120,,yes,,,"POLYGON ((106.5392947 29.7336894, 106.5394732 29.7336403, 106.539468 29.7336261, 106.539529 29.7336093, 106.5395343 29.7336238, 106.539719 29.7335729, 106.5397137 29.7335584, 106.5397417 29.7335507, 106.5397164 29.7334812, 106.5392318 29.7336146, 106.5392572 29.7336841, 106.5392895 29.7336752, 106.5392947 29.7336894))",POINT (106.5394893 29.7335881),458.9,4939.5
,11564,879444121,,yes,,,"POLYGON ((106.5400055 29.7334984, 106.5401839 29.7334493, 106.5401787 29.7334351, 106.5402398 29.7334183, 106.5402451 29.7334328, 106.5404298 29.733382, 106.5404245 29.7333675, 106.5404525 29.7333597, 106.5404272 29.7332902, 106.5399426 29.7334236, 106.5399679 29.7334931, 106.5400003 29.7334842, 106.5400055 29.7334984))",POINT (106.5402002 29.7333971),459.6,4946.6
,11565,879444122,,yes,,,"POLYGON ((106.5401048 29.7337803, 106.5402832 29.7337311, 106.540278 29.7337169, 106.540339 29.7337001, 106.5403443 29.7337146, 106.540529 29.7336638, 106.5405237 29.7336493, 106.5405518 29.7336415, 106.5405264 29.733572, 106.5400418 29.7337054, 106.5400672 29.7337749, 106.5400996 29.733766, 106.5401048 29.7337803))",POINT (106.5402994 29.733679),458.7,4937.2
,11566,879444123,,yes,,,"POLYGON ((106.5402201 29.7340807, 106.5403985 29.7340316, 106.5403933 29.7340174, 106.5404544 29.7340006, 106.5404597 29.7340151, 106.5406443 29.7339642, 106.5406391 29.7339497, 106.5406671 29.733942, 106.5406417 29.7338725, 106.5401571 29.7340059, 106.5401825 29.7340754, 106.5402149 29.7340665, 106.5402201 29.7340807))",POINT (106.5404147 29.7339794),458.5,4935.2
,11567,879444124,,yes,,,"POLYGON ((106.5402578 29.7344129, 106.5404363 29.7343638, 106.5404311 29.7343496, 106.5404921 29.7343328, 106.5404974 29.7343473, 106.5406821 29.7342964, 106.5406768 29.7342819, 106.5407049 29.7342742, 106.5406795 29.7342047, 106.5401949 29.7343381, 106.5402203 29.7344076, 106.5402527 29.7343987, 106.5402578 29.7344129))",POINT (106.5404525 29.7343116),458.9,4939.5
,11568,879446979,,yes,,,"POLYGON ((106.4665579 29.6380338, 106.467235 29.6381278, 106.467256 29.6380132, 106.4665789 29.6379192, 106.4665579 29.6380338))",POINT (106.466907 29.6380235),852.6,9177.8
