name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,4566,593220659,2335,2338,1,17.24,,,,service,8,"LINESTRING (-111.9255463 33.4150875, -111.9255459 33.4151555, -111.9256117 33.4152234)",walk;bike,1,0,,
,4567,593220659,2338,2335,1,17.24,,,,service,8,"LINESTRING (-111.9256117 33.4152234, -111.9255459 33.4151555, -111.9255463 33.4150875)",walk;bike,1,0,,
,4568,593220664,2340,2341,1,43.91,,,,service,8,"LINESTRING (-111.9260971 33.4153150, -111.9256248 33.4153180)",walk;bike,0,0,,
,4569,593220665,2338,2341,1,10.59,,,,service,8,"LINESTRING (-111.9256117 33.4152234, -111.9256232 33.4152770, -111.9256248 33.4153180)",walk;bike,1,0,,
,4570,593220665,2341,2338,1,10.59,,,,service,8,"LINESTRING (-111.9256248 33.4153180, -111.9256232 33.4152770, -111.9256117 33.4152234)",walk;bike,1,0,,
,4571,593220665,2341,1097,1,72.15,,,,service,8,"LINESTRING (-111.9256248 33.4153180, -111.9256275 33.4153893, -111.9256481 33.4154150, -111.9256797 33.4154342, -111.9257162 33.4154443, -111.9262927 33.4154363)",walk;bike,1,0,,
,4572,593220665,1097,2341,1,72.15,,,,service,8,"LINESTRING (-111.9262927 33.4154363, -111.9257162 33.4154443, -111.9256797 33.4154342, -111.9256481 33.4154150, -111.9256275 33.4153893, -111.9256248 33.4153180)",walk;bike,1,0,,
,4573,593220677,2340,1096,1,18.02,,,,service,8,"LINESTRING (-111.9260971 33.4153150, -111.9262909 33.4153155)",walk;bike,1,0,,
,4574,593220677,1096,2340,1,18.02,,,,service,8,"LINESTRING (-111.9262909 33.4153155, -111.9260971 33.4153150)",walk;bike,1,0,,
,4575,593220680,2342,2343,1,31.18,,,,service,8,"LINESTRING (-111.9260401 33.4155786, -111.9257047 33.4155805)",walk;bike,0,0,,
,4576,593220680,2343,2344,1,78.78,,,,service,8,"LINESTRING (-111.9257047 33.4155805, -111.9256469 33.4155807, -111.9256093 33.4155943, -111.9255949 33.4156196, -111.9255667 33.4157381, -111.9255645 33.4157987, -111.9255776 33.4158343, -111.9256137 33.4158645, -111.9259981 33.4159670)",walk;bike,0,0,,
,4577,593220684,2343,2345,1,69.03,,,,service,8,"LINESTRING (-111.9257047 33.4155805, -111.9256672 33.4156304, -111.9256614 33.4156727, -111.9256628 33.4157885, -111.9256701 33.4158271, -111.9257047 33.4158428, -111.9260271 33.4159284, -111.9260458 33.4159755)",walk;bike,0,0,,
,4578,593220689,2344,2345,1,4.53,,,,service,8,"LINESTRING (-111.9259981 33.4159670, -111.9260458 33.4159755)",walk;bike,0,0,,
,4579,593220689,2345,1072,1,23.92,,,,service,8,"LINESTRING (-111.9260458 33.4159755, -111.9261239 33.4159912, -111.9263008 33.4159887)",walk;bike,0,0,,
,4580,593220691,1071,2342,1,23.76,,,,service,8,"LINESTRING (-111.9262944 33.4155570, -111.9260401 33.4155786)",walk;bike,0,0,,
,4581,594012773,2346,2347,1,62.68,,,,service,8,"LINESTRING (-111.9445042 33.4213792, -111.9445138 33.4216444, -111.9445789 33.4216595, -111.9448691 33.4216569)",walk;bike,1,0,,
,4582,594012773,2347,2346,1,62.68,,,,service,8,"LINESTRING (-111.9448691 33.4216569, -111.9445789 33.4216595, -111.9445138 33.4216444, -111.9445042 33.4213792)",walk;bike,1,0,,
,4583,594012776,2347,2348,1,12.17,,,,service,8,"LINESTRING (-111.9448691 33.4216569, -111.9450000 33.4216568)",walk;bike,1,0,,
,4584,594012776,2348,2347,1,12.17,,,,service,8,"LINESTRING (-111.9450000 33.4216568, -111.9448691 33.4216569)",walk;bike,1,0,,
,4585,594012779,1034,2349,1,15.11,,,,service,8,"LINESTRING (-111.9430383 33.4219283, -111.9430373 33.4217920)",walk;bike,1,0,,
,4586,594012779,2349,1034,1,15.11,,,,service,8,"LINESTRING (-111.9430373 33.4217920, -111.9430383 33.4219283)",walk;bike,1,0,,
,4587,594012780,2350,1180,1,67.32,,,,service,8,"LINESTRING (-111.9430346 33.4214152, -111.9429957 33.4213209, -111.9423906 33.4213209)",walk;bike,1,0,,
,4588,594012780,1180,2350,1,67.32,,,,service,8,"LINESTRING (-111.9423906 33.4213209, -111.9429957 33.4213209, -111.9430346 33.4214152)",walk;bike,1,0,,
,4589,594012781,2351,1181,1,59.7,,,,service,8,"LINESTRING (-111.9430366 33.4216997, -111.9423945 33.4217049)",walk;bike,1,0,,
,4590,594012781,1181,2351,1,59.7,,,,service,8,"LINESTRING (-111.9423945 33.4217049, -111.9430366 33.4216997)",walk;bike,1,0,,
,4591,594012782,2352,1033,1,10.1,,,,service,8,"LINESTRING (-111.9433995 33.4219552, -111.9433979 33.4218641)",walk;bike,1,0,,
,4592,594012782,1033,2352,1,10.1,,,,service,8,"LINESTRING (-111.9433979 33.4218641, -111.9433995 33.4219552)",walk;bike,1,0,,
,4593,594012782,1033,2353,1,8.55,,,,service,8,"LINESTRING (-111.9433979 33.4218641, -111.9433966 33.4217870)",walk;bike,1,0,,
,4594,594012782,2353,1033,1,8.55,,,,service,8,"LINESTRING (-111.9433966 33.4217870, -111.9433979 33.4218641)",walk;bike,1,0,,
,4595,594012783,2353,2349,1,33.41,,,,service,8,"LINESTRING (-111.9433966 33.4217870, -111.9430373 33.4217920)",walk;bike,1,0,,
,4596,594012783,2349,2353,1,33.41,,,,service,8,"LINESTRING (-111.9430373 33.4217920, -111.9433966 33.4217870)",walk;bike,1,0,,
,4597,594012784,2354,76,1,90.59,,,,service,8,"LINESTRING (-111.9438745 33.4236406, -111.9438655 33.4231875, -111.9442993 33.4231771)",walk;bike,1,0,,
,4598,594012784,76,2354,1,90.59,,,,service,8,"LINESTRING (-111.9442993 33.4231771, -111.9438655 33.4231875, -111.9438745 33.4236406)",walk;bike,1,0,,
,4599,594012785,1210,2355,1,15.31,,,,service,8,"LINESTRING (-111.9426821 33.4242671, -111.9426830 33.4244052)",walk;bike,1,0,,
,4600,594012785,2355,1210,1,15.31,,,,service,8,"LINESTRING (-111.9426830 33.4244052, -111.9426821 33.4242671)",walk;bike,1,0,,
,4601,594012785,2355,2356,1,32.39,,,,service,8,"LINESTRING (-111.9426830 33.4244052, -111.9430091 33.4243997, -111.9430313 33.4243993)",walk;bike,1,0,,
,4602,594012785,2356,2355,1,32.39,,,,service,8,"LINESTRING (-111.9430313 33.4243993, -111.9430091 33.4243997, -111.9426830 33.4244052)",walk;bike,1,0,,
,4603,594012786,2357,2355,1,13.38,,,,service,8,"LINESTRING (-111.9427263 33.4245203, -111.9426830 33.4244052)",walk;bike,1,0,,
,4604,594012786,2355,2357,1,13.38,,,,service,8,"LINESTRING (-111.9426830 33.4244052, -111.9427263 33.4245203)",walk;bike,1,0,,
,4605,594012787,2357,2358,1,29.01,,,,service,8,"LINESTRING (-111.9427263 33.4245203, -111.9430383 33.4245154)",walk;bike,0,0,,
,4606,594012788,2358,2356,1,12.89,,,,service,8,"LINESTRING (-111.9430383 33.4245154, -111.9430313 33.4243993)",walk;bike,0,0,,
,4607,594012789,2355,932,1,125.44,,,,service,8,"LINESTRING (-111.9426830 33.4244052, -111.9425333 33.4245308, -111.9425451 33.4254846)",walk;bike,1,0,,
,4608,594012789,932,2355,1,125.44,,,,service,8,"LINESTRING (-111.9425451 33.4254846, -111.9425333 33.4245308, -111.9426830 33.4244052)",walk;bike,1,0,,
,4609,594092000,2359,2360,1,4.19,,,,service,8,"LINESTRING (-111.9256813 33.4160687, -111.9256489 33.4160950)",walk;bike,1,0,,
,4610,594092000,2360,2359,1,4.19,,,,service,8,"LINESTRING (-111.9256489 33.4160950, -111.9256813 33.4160687)",walk;bike,1,0,,
,4611,594092002,2360,2361,1,17.13,,,,service,8,"LINESTRING (-111.9256489 33.4160950, -111.9255840 33.4161565, -111.9255830 33.4162289)",walk;bike,1,0,,
,4612,594092002,2361,2360,1,17.13,,,,service,8,"LINESTRING (-111.9255830 33.4162289, -111.9255840 33.4161565, -111.9256489 33.4160950)",walk;bike,1,0,,
,4613,594092006,2362,2363,1,16.2,,,,service,8,"LINESTRING (-111.9255946 33.4164286, -111.9255953 33.4162825)",walk;bike,1,0,,
,4614,594092006,2363,2362,1,16.2,,,,service,8,"LINESTRING (-111.9255953 33.4162825, -111.9255946 33.4164286)",walk;bike,1,0,,
,4615,594092008,354,2362,1,55.69,,,,service,8,"LINESTRING (-111.9257825 33.4168186, -111.9257876 33.4164978, -111.9257773 33.4164871, -111.9256139 33.4164458, -111.9256004 33.4164388, -111.9255946 33.4164286)",walk;bike,1,0,,
,4616,594092008,2362,354,1,55.69,,,,service,8,"LINESTRING (-111.9255946 33.4164286, -111.9256004 33.4164388, -111.9256139 33.4164458, -111.9257773 33.4164871, -111.9257876 33.4164978, -111.9257825 33.4168186)",walk;bike,1,0,,
,4617,594092024,353,2364,1,12.21,,,,service,8,"LINESTRING (-111.9260097 33.4168223, -111.9260483 33.4167170)",walk;bike,1,0,,
,4618,594092024,2364,353,1,12.21,,,,service,8,"LINESTRING (-111.9260483 33.4167170, -111.9260097 33.4168223)",walk;bike,1,0,,
,4619,594092026,1216,1217,1,29.31,,,,service,8,"LINESTRING (-111.9261019 33.4162328, -111.9260613 33.4161842, -111.9258315 33.4161141)",walk;bike,1,0,,
,4620,594092026,1217,1216,1,29.31,,,,service,8,"LINESTRING (-111.9258315 33.4161141, -111.9260613 33.4161842, -111.9261019 33.4162328)",walk;bike,1,0,,
,4621,594092026,1217,2359,1,14.84,,,,service,8,"LINESTRING (-111.9258315 33.4161141, -111.9256813 33.4160687)",walk;bike,1,0,,
,4622,594092026,2359,1217,1,14.84,,,,service,8,"LINESTRING (-111.9256813 33.4160687, -111.9258315 33.4161141)",walk;bike,1,0,,
,4623,594092026,2359,2365,1,14.26,,,,service,8,"LINESTRING (-111.9256813 33.4160687, -111.9255370 33.4160250)",walk;bike,1,0,,
,4624,594092026,2365,2359,1,14.26,,,,service,8,"LINESTRING (-111.9255370 33.4160250, -111.9256813 33.4160687)",walk;bike,1,0,,
,4625,594092028,2260,2366,1,13.58,,,,service,8,"LINESTRING (-111.9254175 33.4167501, -111.9254179 33.4166276)",walk;bike,1,0,,
,4626,594092028,2366,2260,1,13.58,,,,service,8,"LINESTRING (-111.9254179 33.4166276, -111.9254175 33.4167501)",walk;bike,1,0,,
,4627,594092031,2366,2253,1,155.74,,,,service,8,"LINESTRING (-111.9254179 33.4166276, -111.9254144 33.4159898, -111.9253697 33.4158500, -111.9253697 33.4157639, -111.9247305 33.4157608)",walk;bike,1,0,,
,4628,594092031,2253,2366,1,155.74,,,,service,8,"LINESTRING (-111.9247305 33.4157608, -111.9253697 33.4157639, -111.9253697 33.4158500, -111.9254144 33.4159898, -111.9254179 33.4166276)",walk;bike,1,0,,
,4629,594092044,1098,2367,1,18.64,,,,service,8,"LINESTRING (-111.9263091 33.4165394, -111.9261086 33.4165399)",walk;bike,1,0,,
,4630,594092044,2367,1098,1,18.64,,,,service,8,"LINESTRING (-111.9261086 33.4165399, -111.9263091 33.4165394)",walk;bike,1,0,,
,4631,594099772,1215,2368,1,15.65,,,,service,8,"LINESTRING (-111.9259858 33.4169981, -111.9260167 33.4170267, -111.9260277 33.4170474, -111.9260441 33.4171261)",walk;bike,0,0,,
,4632,594099775,2368,1078,1,23.89,,,,service,8,"LINESTRING (-111.9260441 33.4171261, -111.9263010 33.4171287)",walk;bike,1,0,,
,4633,594099775,1078,2368,1,23.89,,,,service,8,"LINESTRING (-111.9263010 33.4171287, -111.9260441 33.4171261)",walk;bike,1,0,,
,4634,594099777,2369,1214,1,12.75,,,,service,8,"LINESTRING (-111.9256679 33.4172357, -111.9256490 33.4171218)",walk;bike,1,0,,
,4635,594099777,1214,2369,1,12.75,,,,service,8,"LINESTRING (-111.9256490 33.4171218, -111.9256679 33.4172357)",walk;bike,1,0,,
,4636,594099779,1214,2368,1,36.74,,,,service,8,"LINESTRING (-111.9256490 33.4171218, -111.9260441 33.4171261)",walk;bike,1,0,,
,4637,594099779,2368,1214,1,36.74,,,,service,8,"LINESTRING (-111.9260441 33.4171261, -111.9256490 33.4171218)",walk;bike,1,0,,
,4638,594099781,1229,2369,1,100.03,,,,service,8,"LINESTRING (-111.9260865 33.4177881, -111.9256663 33.4177856, -111.9256679 33.4172357)",walk;bike,1,0,,
,4639,594099781,2369,1229,1,100.03,,,,service,8,"LINESTRING (-111.9256679 33.4172357, -111.9256663 33.4177856, -111.9260865 33.4177881)",walk;bike,1,0,,
,4640,594103603,795,358,1,16.51,,,,service,8,"LINESTRING (-111.9249002 33.4169533, -111.9249009 33.4168044)",walk;bike,1,0,,
,4641,594103603,358,795,1,16.51,,,,service,8,"LINESTRING (-111.9249009 33.4168044, -111.9249002 33.4169533)",walk;bike,1,0,,
,4642,594103604,1230,2370,1,94.15,,,,service,8,"LINESTRING (-111.9253289 33.4169521, -111.9253200 33.4178013)",walk;bike,1,0,,
,4643,594103604,2370,1230,1,94.15,,,,service,8,"LINESTRING (-111.9253200 33.4178013, -111.9253289 33.4169521)",walk;bike,1,0,,
,4644,594118264,2371,2372,1,53.34,,,,service,8,"LINESTRING (-111.9243782 33.4180541, -111.9245692 33.4176004)",walk;bike,1,0,,
,4645,594118264,2372,2371,1,53.34,,,,service,8,"LINESTRING (-111.9245692 33.4176004, -111.9243782 33.4180541)",walk;bike,1,0,,
,4646,594118265,2373,2374,1,21.38,,,,footway,10,"LINESTRING (-111.9238436 33.4177982, -111.9239140 33.4176310, -111.9239125 33.4176155)",walk,0,0,,
,4647,594118265,2374,2375,1,10.13,,,,footway,10,"LINESTRING (-111.9239125 33.4176155, -111.9238821 33.4175851, -111.9238381 33.4175489)",walk,0,0,,
,4648,594118265,2375,2376,1,20.06,,,,footway,10,"LINESTRING (-111.9238381 33.4175489, -111.9237705 33.4174969, -111.9237051 33.4174367, -111.9237097 33.4174145)",walk,0,0,,
,4649,594118265,2376,2377,1,80.32,,,,footway,10,"LINESTRING (-111.9237097 33.4174145, -111.9236709 33.4173549, -111.9231680 33.4169446, -111.9231506 33.4169225, -111.9231048 33.4169064)",walk,0,0,,
,4650,594118266,2378,2379,1,6.15,,,,footway,10,"LINESTRING (-111.9240093 33.4174677, -111.9239839 33.4174849, -111.9239756 33.4175001, -111.9239725 33.4175112)",walk,0,0,,
,4651,594118266,2379,2374,1,13.55,,,,footway,10,"LINESTRING (-111.9239725 33.4175112, -111.9239581 33.4175622, -111.9239421 33.4175996, -111.9239285 33.4176104, -111.9239125 33.4176155)",walk,0,0,,
,4652,594118267,2379,2380,1,9.83,,,,footway,10,"LINESTRING (-111.9239725 33.4175112, -111.9239459 33.4175236, -111.9239178 33.4175236, -111.9238707 33.4175210)",walk,0,0,,
,4653,594118267,2380,2375,1,4.44,,,,footway,10,"LINESTRING (-111.9238707 33.4175210, -111.9238555 33.4175280, -111.9238381 33.4175489)",walk,0,0,,
,4654,594118268,2380,2376,1,19.13,,,,footway,10,"LINESTRING (-111.9238707 33.4175210, -111.9238198 33.4174919, -111.9237575 33.4174462, -111.9237264 33.4174221, -111.9237097 33.4174145)",walk,0,0,,
,4655,594118270,335,2381,1,7.56,,,,service,8,"LINESTRING (-111.9239316 33.4180199, -111.9239973 33.4179797)",walk;bike,1,0,,
,4656,594118270,2381,335,1,7.56,,,,service,8,"LINESTRING (-111.9239973 33.4179797, -111.9239316 33.4180199)",walk;bike,1,0,,
,4657,594118271,2381,2382,1,58.12,,,,service,8,"LINESTRING (-111.9239973 33.4179797, -111.9240688 33.4179363, -111.9242455 33.4175112)",walk;bike,1,0,,
,4658,594118271,2382,2381,1,58.12,,,,service,8,"LINESTRING (-111.9242455 33.4175112, -111.9240688 33.4179363, -111.9239973 33.4179797)",walk;bike,1,0,,
,4659,594118272,2383,360,1,88.79,,,,service,8,"LINESTRING (-111.9241340 33.4174805, -111.9241106 33.4174626, -111.9240984 33.4174312, -111.9240963 33.4173929, -111.9241055 33.4173503, -111.9244510 33.4169650, -111.9244918 33.4169088, -111.9244999 33.4168833, -111.9245051 33.4167980)",walk;bike,1,0,,
,4660,594118272,360,2383,1,88.79,,,,service,8,"LINESTRING (-111.9245051 33.4167980, -111.9244999 33.4168833, -111.9244918 33.4169088, -111.9244510 33.4169650, -111.9241055 33.4173503, -111.9240963 33.4173929, -111.9240984 33.4174312, -111.9241106 33.4174626, -111.9241340 33.4174805)",walk;bike,1,0,,
