geometry,TAZ,x_coord,y_coord,COUNT,FIRST_COUN
"MULTIPOLYGON (((-122.406464122386 37.7901569544538,-122.406564125816 37.790456945714,-122.406175121377 37.790521941489,-122.405964118966 37.7905569392058,-122.405373111908 37.7906129341155,-122.40526410441 37.7897569600298,-122.405814110964 37.7897069647126,-122.406364117515 37.7896569693968,-122.406464122386 37.7901569544538)))",100023,-122.4058824,37.79013337,1,6075
"MULTIPOLYGON (((-122.405373111908 37.7906129341155,-122.405008107599 37.7906549307428,-122.404864102945 37.7902569422584,-122.404764098837 37.7898569540837,-122.40526410441 37.7897569600298,-122.405373111908 37.7906129341155)))",100024,-122.4050939,37.79019889,1,6075
"MULTIPOLYGON (((-122.404764098837 37.7898569540837,-122.404864102945 37.7902569422584,-122.405008107599 37.7906549307428,-122.404664103981 37.790756925631,-122.403764093316 37.7908569174313,-122.403715089587 37.7904159308063,-122.403664085708 37.789956944726,-122.403864088225 37.7899569458641,-122.404764098837 37.7898569540837)))",100025,-122.4042947,37.79035866,1,6075
"MULTIPOLYGON (((-122.403664085708 37.789956944726,-122.403715089587 37.7904159308063,-122.403764093316 37.7908569174313,-122.403464089523 37.7908569157308,-122.403264081377 37.7900569393551,-122.403664085708 37.789956944726)))",100026,-122.4035379,37.7904083,1,6075
"MULTIPOLYGON (((-122.401764069419 37.7910568999124,-122.401664062619 37.7902569240728,-122.403264081377 37.7900569393551,-122.403464089523 37.7908569157308,-122.402264075746 37.7910569027442,-122.401764069419 37.7910568999124)))",100027,-122.4025403,37.79057597,1,6075
"MULTIPOLYGON (((-122.401764069419 37.7910568999124,-122.400564055604 37.7912568869399,-122.400164048491 37.790956893938,-122.400964054485 37.7903569170056,-122.401364057458 37.7900569285481,-122.401664062619 37.7902569240728,-122.401764069419 37.7910568999124)))",100028,-122.4010941,37.7907464,1,6075
"MULTIPOLYGON (((-122.402364064476 37.7892569589764,-122.402493065417 37.7891599627127,-122.402764067394 37.7889569705399,-122.40306407185 37.7890569691601,-122.403264081377 37.7900569393551,-122.401664062619 37.7902569240728,-122.401364057458 37.7900569285481,-122.402364064476 37.7892569589764)))",100029,-122.4024689,37.78971408,1,6075
"MULTIPOLYGON (((-122.403776084013 37.7895169589857,-122.403864088225 37.7899569458641,-122.403664085708 37.789956944726,-122.403264081377 37.7900569393551,-122.40306407185 37.7890569691601,-122.40366407866 37.7889569756832,-122.403776084013 37.7895169589857)))",10002A,-122.4034619,37.78949903,1,6075
"MULTIPOLYGON (((-122.404664094024 37.7893569690053,-122.404764098837 37.7898569540837,-122.403864088225 37.7899569458641,-122.403776084013 37.7895169589857,-122.40366407866 37.7889569756832,-122.404564089216 37.7888569839244,-122.404664094024 37.7893569690053)))",10002B,-122.4042141,37.78940696,1,6075
"MULTIPOLYGON (((-122.406364117515 37.7896569693968,-122.405814110964 37.7897069647126,-122.40526410441 37.7897569600298,-122.404764098837 37.7898569540837,-122.404664094024 37.7893569690053,-122.404564089216 37.7888569839244,-122.405062095147 37.7888149880731,-122.40546409976 37.7887569921699,-122.406164107793 37.7886569992755,-122.406164109235 37.7888569930718,-122.406222111216 37.789030988006,-122.406264112802 37.7891779836859,-122.406298115076 37.7894339759385,-122.406364117515 37.7896569693968)))",10002C,-122.4054583,37.78925416,1,6075
"MULTIPOLYGON (((-122.406264112802 37.7891779836859,-122.406732118095 37.7890989888094,-122.407864131237 37.788956999685,-122.407964136151 37.7894569847255,-122.406364117515 37.7896569693968,-122.406298115076 37.7894339759385,-122.406264112802 37.7891779836859)))",10002D,-122.4071127,37.78930876,1,6075
"MULTIPOLYGON (((-122.406222111216 37.789030988006,-122.406164109235 37.7888569930718,-122.406164107793 37.7886569992755,-122.407764127067 37.7885580115054,-122.407864131237 37.788956999685,-122.406732118095 37.7890989888094,-122.406264112802 37.7891779836859,-122.406222111216 37.789030988006)))",10002E,-122.4069702,37.78883856,1,6075
"MULTIPOLYGON (((-122.407864131237 37.788956999685,-122.407764127067 37.7885580115054,-122.409464146078 37.7882580305666,-122.409564154746 37.7892570000697,-122.408826146173 37.789348992998,-122.407964136151 37.7894569847255,-122.407864131237 37.788956999685)))",10002F,-122.4087029,37.78887484,1,6075
"MULTIPOLYGON (((-122.409264136915 37.7873580574046,-122.409464146078 37.7882580305666,-122.407764127067 37.7885580115054,-122.407664121434 37.7879580295658,-122.407564117269 37.7875580414128,-122.409264136915 37.7873580574046)))",10002G,-122.4085049,37.78793558,1,6075
"MULTIPOLYGON (((-122.406164107793 37.7886569992755,-122.406055102844 37.7881590140975,-122.407664121434 37.7879580295658,-122.407764127067 37.7885580115054,-122.406164107793 37.7886569992755)))",10002H,-122.4069359,37.78832995,1,6075
"MULTIPOLYGON (((-122.407564117269 37.7875580414128,-122.407664121434 37.7879580295658,-122.406055102844 37.7881590140975,-122.405964098824 37.787758026012,-122.407564117269 37.7875580414128)))",10002I,-122.4068119,37.78785846,1,6075
"MULTIPOLYGON (((-122.405964098824 37.787758026012,-122.406055102844 37.7881590140975,-122.404564086374 37.788456996316,-122.404364080337 37.7879580106268,-122.405964098824 37.787758026012)))",10002J,-122.4052048,37.78808629,1,6075
"MULTIPOLYGON (((-122.405062095147 37.7888149880731,-122.404564089216 37.7888569839244,-122.404564086374 37.788456996316,-122.406055102844 37.7881590140975,-122.406164107793 37.7886569992755,-122.40546409976 37.7887569921699,-122.405062095147 37.7888149880731)))",10002K,-122.4053672,37.78853503,1,6075
"MULTIPOLYGON (((-122.404364080337 37.7879580106268,-122.404564086374 37.788456996316,-122.404564089216 37.7888569839244,-122.40366407866 37.7889569756832,-122.40306407185 37.7890569691601,-122.402764067394 37.7889569705399,-122.40297606857 37.7887459782799,-122.403064069047 37.7886569815371,-122.403764074269 37.7881570010224,-122.403855074542 37.7880350053215,-122.404064075186 37.7877580150985,-122.404364080337 37.7879580106268)))",10002L,-122.4038454,37.78853817,1,6075
"MULTIPOLYGON (((-122.40576408987 37.7868580527708,-122.40587709493 37.7873670376377,-122.405964098824 37.787758026012,-122.404364080337 37.7879580106268,-122.404064075186 37.7877580150985,-122.404564079275 37.7874580272642,-122.405464085439 37.7867580541411,-122.40576408987 37.7868580527708)))",10002M,-122.4051802,37.7874594,1,6075
"MULTIPOLYGON (((-122.40626409534 37.7867580587558,-122.407364108225 37.7866580682058,-122.407564117269 37.7875580414128,-122.405964098824 37.787758026012,-122.40587709493 37.7873670376377,-122.40576408987 37.7868580527708,-122.40626409534 37.7867580587558)))",10002N,-122.4066601,37.78719911,1,6075
"MULTIPOLYGON (((-122.409064127775 37.7864580842339,-122.409264136915 37.7873580574046,-122.407564117269 37.7875580414128,-122.407364108225 37.7866580682058,-122.409064127775 37.7864580842339)))",10002O,-122.4083141,37.78700806,1,6075
"MULTIPOLYGON (((-122.40886411792 37.7854581141628,-122.409064127775 37.7864580842339,-122.407364108225 37.7866580682058,-122.407264099708 37.7856580986737,-122.40886411792 37.7854581141628)))",10002P,-122.4081415,37.78606285,1,6075
"MULTIPOLYGON (((-122.40706409652 37.7855581006187,-122.407264099708 37.7856580986737,-122.407364108225 37.7866580682058,-122.40626409534 37.7867580587558,-122.40576408987 37.7868580527708,-122.405464085439 37.7867580541411,-122.40676409428 37.7857580926728,-122.40706409652 37.7855581006187)))",10002Q,-122.406639,37.78631983,1,6075
"MULTIPOLYGON (((-122.408664108828 37.784558140974,-122.40886411792 37.7854581141628,-122.407264099708 37.7856580986737,-122.40706409652 37.7855581006187,-122.408446105388 37.7844531429676,-122.408564106132 37.7843581466072,-122.40861810758 37.7844651435965,-122.408664108828 37.784558140974)))",10002R,-122.4081376,37.78515587,1,6075
"MULTIPOLYGON (((-122.41133416069 37.7871030772566,-122.4121351699 37.7870080848309,-122.412564174835 37.7869580888616,-122.412364164748 37.7859581188784,-122.413164173842 37.7858581266275,-122.413964182925 37.7857581343806,-122.415664203073 37.7856581473533,-122.415764211349 37.7865581198057,-122.415864219637 37.7874580922537,-122.414364202553 37.7876580773832,-122.413847196771 37.787742071791,-122.413579193829 37.7877930686604,-122.413264190408 37.7878580648238,-122.412764184948 37.7879580588352,-122.411064165282 37.7881580428512,-122.409464146078 37.7882580305666,-122.409264136915 37.7873580574046,-122.410864155276 37.7871580728372,-122.41133416069 37.7871030772566)))",100031,-122.4130606,37.78704364,1,6075
"MULTIPOLYGON (((-122.410764151784 37.7868580816004,-122.410864155276 37.7871580728372,-122.409264136915 37.7873580574046,-122.409064127775 37.7864580842339,-122.40886411792 37.7854581141628,-122.409564125782 37.785358121333,-122.40966412701 37.7853581219132,-122.410464136839 37.7853581265552,-122.410664145296 37.7861581028134,-122.410764151784 37.7868580816004)))",100032,-122.409851,37.78631901,1,6075
"MULTIPOLYGON (((-122.413164173842 37.7858581266275,-122.412364164748 37.7859581188784,-122.412164155446 37.7850581457689,-122.413017165145 37.7849581538432,-122.413864174758 37.7848581618868,-122.415364191578 37.7846581768573,-122.415460195252 37.7849781674176,-122.415664203073 37.7856581473533,-122.413964182925 37.7857581343806,-122.413164173842 37.7858581266275)))",100033,-122.413919,37.78532121,1,6075
"MULTIPOLYGON (((-122.410764151784 37.7868580816004,-122.410664145296 37.7861581028134,-122.410464136839 37.7853581265552,-122.412164155446 37.7850581457689,-122.412364164748 37.7859581188784,-122.412564174835 37.7869580888616,-122.4121351699 37.7870080848309,-122.41133416069 37.7871030772566,-122.410864155276 37.7871580728372,-122.410764151784 37.7868580816004)))",100034,-122.4115243,37.78613274,1,6075
"MULTIPOLYGON (((-122.410464136839 37.7853581265552,-122.40966412701 37.7853581219132,-122.409564125782 37.785358121333,-122.40886411792 37.7854581141628,-122.408664108828 37.784558140974,-122.40861810758 37.7844651435965,-122.408564106132 37.7843581466072,-122.409064109284 37.7839581619562,-122.409692112852 37.783408182729,-122.409864113827 37.7832581884014,-122.410035114905 37.7831241935715,-122.410064117003 37.7833581864609,-122.410264126908 37.7843581565129,-122.410464136839 37.7853581265552)))",100041,-122.4095679,37.78451684,1,6075
