name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,300003,,393,100003,,,,,,connector with residential,-1,"LINESTRING (108.9351544 34.2768661 ,108.93282070892856 34.27661730892858)"
,300004,,640,100003,,,,,,connector with residential,-1,"LINESTRING (108.9304304 34.2766874 ,108.93282070892856 34.27661730892858)"
,300005,,653,100003,,,,,,connector with residential,-1,"LINESTRING (108.9316161 34.2763124 ,108.93282070892856 34.27661730892858)"
,300006,,654,100003,,,,,,connector with residential,-1,"LINESTRING (108.9324518 34.2768189 ,108.93282070892856 34.27661730892858)"
,300007,,655,100003,,,,,,connector with residential,-1,"LINESTRING (108.9343511 34.2768848 ,108.93282070892856 34.27661730892858)"
,300008,,2893,100003,,,,,,connector with poi,-1,"LINESTRING (108.9315326 34.2769655 ,108.93282070892856 34.27661730892858)"
,300009,,2905,100003,,,,,,connector with poi,-1,"LINESTRING (108.9308695 34.2767673 ,108.93282070892856 34.27661730892858)"
,300010,,2909,100003,,,,,,connector with poi,-1,"LINESTRING (108.9326761 34.2767456 ,108.93282070892856 34.27661730892858)"
,300011,,2910,100003,,,,,,connector with poi,-1,"LINESTRING (108.9320603 34.2769887 ,108.93282070892856 34.27661730892858)"
,300012,,2913,100003,,,,,,connector with poi,-1,"LINESTRING (108.9306769 34.2762126 ,108.93282070892856 34.27661730892858)"
,300013,,2915,100003,,,,,,connector with poi,-1,"LINESTRING (108.9333585 34.2765342 ,108.93282070892856 34.27661730892858)"
,300014,,2916,100003,,,,,,connector with poi,-1,"LINESTRING (108.9326771 34.2764919 ,108.93282070892856 34.27661730892858)"
,300015,,2921,100003,,,,,,connector with poi,-1,"LINESTRING (108.9339005 34.2764369 ,108.93282070892856 34.27661730892858)"
,300016,,2922,100003,,,,,,connector with poi,-1,"LINESTRING (108.9315985 34.2761876 ,108.93282070892856 34.27661730892858)"
,300017,,2923,100003,,,,,,connector with poi,-1,"LINESTRING (108.9330161 34.2763993 ,108.93282070892856 34.27661730892858)"
,300018,,2927,100003,,,,,,connector with poi,-1,"LINESTRING (108.9342234 34.2761106 ,108.93282070892856 34.27661730892858)"
